,city,city_id,cloudiness,humidity,lat,lon,temp,windspeed
0,saint-pierre,2995603,0,93,48.95,4.24,50.0,12.75
1,nikolskoye,546105,20,63,59.7,30.79,30.2,4.47
2,busselton,2075265,36,100,-33.64,115.35,64.52,16.26
3,mataura,6201424,92,83,-46.19,168.86,59.39,25.55
4,dunedin,2191562,0,43,-45.87,170.5,67.85,21.3
5,thompson,6165406,75,31,55.74,-97.86,17.6,18.34
6,esperance,3573739,20,65,10.24,-61.45,82.4,18.34
7,comodoro rivadavia,3860443,90,100,-45.87,-67.48,55.4,5.82
8,mansa,1263623,0,38,23.43,72.66,77.0,5.97
9,jamestown,2069194,0,57,-33.21,138.6,64.07,4.63
10,sao filipe,3374210,32,100,14.9,-24.5,69.11,13.58
11,guamo,3170647,40,81,43.81,10.51,53.6,9.17
12,clyde river,5924351,1,77,70.47,-68.59,6.8,21.92
13,hermanus,3366880,12,95,-34.42,19.24,54.26,3.29
14,port alfred,964432,36,98,-33.59,26.89,68.21,5.19
16,severo-kurilsk,2121385,64,94,50.68,156.12,32.75,10.45
17,cape town,3369157,0,82,-33.93,18.42,64.4,9.17
19,khatanga,2022572,36,57,71.98,102.47,-19.55,2.95
20,bambous virieux,1106677,75,88,-20.34,57.76,80.6,8.05
21,talnakh,1490256,64,75,69.49,88.39,-11.45,9.33
22,hithadhoo,1282256,80,100,-0.6,73.08,82.16,2.84
23,avarua,4035715,75,79,-21.21,-159.78,84.2,5.82
24,dikson,1507390,12,73,73.51,80.55,-10.55,10.67
25,sergiyevsk,486626,68,91,53.94,51.16,35.09,14.36
26,albany,5106834,90,86,42.65,-73.75,39.2,5.82
27,carnot,2387495,12,77,4.94,15.87,72.26,2.95
28,manama,292953,0,60,25.33,56.02,86.0,6.93
29,ushuaia,3833367,20,60,-54.81,-68.31,42.8,6.93
31,rikitea,4030556,88,100,-23.12,-134.97,79.91,11.12
35,atuona,4020109,32,100,-9.8,-139.03,81.89,14.03
36,beirut,276781,20,82,33.9,35.48,64.4,6.93
38,abilene,4669635,1,32,32.45,-99.73,68.0,26.4
42,los llanos de aridane,2514651,36,72,28.66,-17.92,64.4,6.93
43,nishihara,1850144,1,77,35.74,139.53,60.8,4.63
44,saint-philippe,6138908,90,52,45.36,-73.48,42.8,10.29
45,port keats,2063039,0,75,-14.25,129.55,85.94,12.12
